code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.01157,2021-03-16 09:46:00,11.44,11.42,11.44,11.42,0.0,0.0,1200,13704.0,-0.1748251748251711,11.44
HK.01157,2021-03-16 09:47:00,11.42,11.44,11.44,11.42,0.0,0.0,1000,11428.0,0.17513134851137982,11.42
HK.01157,2021-03-16 09:48:00,11.42,11.46,11.46,11.42,0.0,0.0,47000,537844.0,0.17482517482518664,11.44
HK.01157,2021-03-16 09:49:00,11.46,11.48,11.48,11.46,0.0,0.0,31200,357596.0,0.1745200698080242,11.46
HK.01157,2021-03-16 09:50:00,11.46,11.5,11.5,11.46,0.0,0.0,46000,528048.0,0.17421602787456072,11.48
HK.01157,2021-03-16 09:51:00,11.5,11.56,11.56,11.5,0.0,0.0,79800,920020.0,0.5217391304347869,11.5
HK.01157,2021-03-16 09:52:00,11.56,11.54,11.56,11.52,0.0,0.0,2800,32304.0,-0.17301038062284904,11.56
HK.01157,2021-03-16 09:53:00,11.52,11.52,11.54,11.52,0.0,0.0,2000,23056.0,-0.1733102253032892,11.54
HK.01157,2021-03-16 09:54:00,11.54,11.56,11.56,11.52,0.0,0.0,23000,265344.0,0.34722222222223026,11.52
HK.01157,2021-03-16 09:55:00,11.52,11.56,11.56,11.52,0.0,0.0,11200,129116.0,0.0,11.56
HK.01157,2021-03-16 09:56:00,11.52,11.54,11.54,11.52,0.0,0.0,2200,25364.0,-0.17301038062284904,11.56
HK.01157,2021-03-16 09:57:00,11.52,11.46,11.52,11.42,0.0,0.0,49600,569480.0,-0.6932409012131568,11.54
HK.01157,2021-03-16 09:58:00,11.48,11.48,11.5,11.48,0.0,0.0,8800,101036.0,0.1745200698080242,11.46
HK.01157,2021-03-16 09:59:00,11.5,11.5,11.52,11.5,0.0,0.0,13000,149516.0,0.17421602787456072,11.48
HK.01157,2021-03-16 10:00:00,11.5,11.5,11.52,11.5,0.0,0.0,3800,43716.0,0.0,11.5
HK.01157,2021-03-16 10:01:00,11.5,11.46,11.52,11.46,0.0,0.0,61800,709640.0,-0.34782608695651435,11.5
HK.01157,2021-03-16 10:02:00,11.46,11.46,11.46,11.46,0.0,0.0,6400,73344.0,0.0,11.46
HK.01157,2021-03-16 10:03:00,11.48,11.46,11.48,11.46,0.0,0.0,1000,11464.0,0.0,11.46
HK.01157,2021-03-16 10:04:00,11.48,11.5,11.5,11.48,0.0,0.0,4200,48228.0,0.3490401396160484,11.46
HK.01157,2021-03-16 10:05:00,11.5,11.46,11.5,11.46,0.0,0.0,18400,211196.0,-0.34782608695651435,11.5
HK.01157,2021-03-16 10:06:00,11.46,11.46,11.46,11.46,0.0,0.0,6800,77928.0,0.0,11.46
HK.01157,2021-03-16 10:07:00,11.46,11.44,11.48,11.44,0.0,0.0,23200,265704.0,-0.1745200698080397,11.46
HK.01157,2021-03-16 10:08:00,11.46,11.46,11.46,11.46,0.0,0.0,200,2292.0,0.17482517482518664,11.44
HK.01157,2021-03-16 10:09:00,11.44,11.44,11.46,11.44,0.0,0.0,12000,137292.0,-0.1745200698080397,11.46
HK.01157,2021-03-16 10:10:00,11.44,11.46,11.46,11.44,0.0,0.0,16200,185576.0,0.17482517482518664,11.44
HK.01157,2021-03-16 10:11:00,11.48,11.48,11.5,11.48,0.0,0.0,38600,443192.0,0.1745200698080242,11.46
HK.01157,2021-03-16 10:12:00,11.5,11.46,11.5,11.46,0.0,0.0,38400,440640.0,-0.17421602787456072,11.48
HK.01157,2021-03-16 10:13:00,11.46,11.46,11.46,11.46,0.0,0.0,200,2292.0,0.0,11.46
HK.01157,2021-03-16 10:14:00,11.46,11.44,11.46,11.44,0.0,0.0,15800,180892.0,-0.1745200698080397,11.46
HK.01157,2021-03-16 10:15:00,11.44,11.44,11.44,11.44,0.0,0.0,0,0.0,0.0,11.44
HK.01157,2021-03-16 10:16:00,11.44,11.44,11.46,11.42,0.0,0.0,27600,315560.0,0.0,11.44
HK.01157,2021-03-16 10:17:00,11.42,11.42,11.44,11.42,0.0,0.0,4000,45692.0,-0.1748251748251711,11.44
HK.01157,2021-03-16 10:18:00,11.44,11.44,11.44,11.4,0.0,0.0,12600,143816.0,0.17513134851137982,11.42
HK.01157,2021-03-16 10:19:00,11.42,11.42,11.44,11.4,0.0,0.0,42400,483660.0,-0.1748251748251711,11.44
HK.01157,2021-03-16 10:20:00,11.42,11.4,11.44,11.38,0.0,0.0,17800,203344.0,-0.17513134851137982,11.42
HK.01157,2021-03-16 10:21:00,11.4,11.38,11.4,11.38,0.0,0.0,5200,59252.0,-0.1754385964912243,11.4
HK.01157,2021-03-16 10:22:00,11.36,11.38,11.4,11.36,0.0,0.0,12400,140940.0,0.0,11.38
HK.01157,2021-03-16 10:23:00,11.38,11.36,11.4,11.34,0.0,0.0,30400,345508.0,-0.17574692442883436,11.38
HK.01157,2021-03-16 10:24:00,11.36,11.36,11.38,11.36,0.0,0.0,2800,31844.0,0.0,11.36
